,Product Name,Product Description,Discounted Price,Original Price,Discount Percentage,Customer Rated Rating,Customer Review Test,Reviewers Name,Review_posted_dates
42,Roadster,Men Olive Henley Neck Cotton Pure Cotton T-shirt,₹287,₹899,(68% OFF),"[5, 4, 5]","['It is a very stylish t-shirt. The material is very comfortable and quality is very good. You can wear this t-shirt in every season because it is made up of very good quality cotton. It is suitable for wearing in every occassions. This t-shirt gives very stylish looks with Denim jeans or chinos cargo. You should definitely buy this product.', 'size is correct but shoulders loose, quality is good', ""According to my size I ordered L size, but it's too loose and long. So then I exchange it and order M size, and its perfectly fit. So ordered small size then your size. Product are beautiful, fully satisfy. Thank you MYNTRA ❣️""]","['Ritankar Tripathi', 'Jagadesh 007', 'Hemant Rawat']","['16 Dec 2021', '27 May 2021', '15 Oct 2022']"
43,Bewakoof,Black Harry Potter Printed Round Neck Short Sleeves Cotton Oversized T-shirt,₹749,₹1249,(Rs. 500 OFF),[],[],[],[]
44,H&M,Men Slim-Fit Polo T-shirt,Rs. 799,,,,,,
45,U.S. Polo Assn.,Men Pure Cotton Varsity Colourblock T-Shirt,₹799,₹999,(20% OFF),"[4, 4, 4]","['Perfect size fitting awesome. Thanks Mantra', 'Very good quality! Soft and Comfortable.', 'Fits as expected, looks pretty good']","['Langoljam Pradipkumar Singh', 'Debjeet Das', 'Myntra Customer']","['7 Oct 2023', '16 Dec 2023', '15 July 2023']"
46,NOBERO,Round Neck Short Sleeves Oversized Cotton T-shirt,₹469,₹999,(Rs. 530 OFF),[],[],[],[]
47,DILLINGER,Men Navy Blue Red Striped Cotton Pure Cotton T-shirt,₹527,₹1199,(56% OFF),"[5, 4, 4]","['Iten was to good bcz we made it as a dress code so cloth and fitting was awsome we will do shopping only on myntra thanks for giving such a good and worth able prodect', ""Perfect fit,no color bleeding,Soft n comfort.the stripe is nicely stitched,a bit narrow from your forearm to wrist which I feel is great who looks for well fitted arm length,don't use bleach for washing,machine n manual(hand) wash with cold/Normal water,don't use hot water."", 'Good quality fabric and nice looking t shirt. But the chest width was not according t the size chart. It was about 1.5inch more. But going to keep it and adjust the size by sewing.']","['Kotesh', 'Subhashish Mishra', 'Myntra Customer']","['14 Dec 2020', '25 Dec 2021', '26 Jan 2021']"
48,Nautica,Men Pure Cotton Colourblocked Round Neck T-shirt,₹467,₹1299,(64% OFF),"[5, 3, 5]","['Very good product ??? Awesome i love these t shirt so much. I suggest you buy these t shirt ????', ""Over all it's ok but it is a little bit tight for people having bigger tummy"", 'Love the tshirt']","['Shubham', 'Rabiul Hazarika', 'Aishwarya Arora']","['6 Jan 2023', '19 May 2023', '13 Mar 2023']"
49,Bewakoof,Men White Pure Cotton T-shirt,₹449,₹999,(Rs. 550 OFF),"[5, 4, 5]","['Perfect fit And Strong material Simplicity is authenticity Check my Instagram for more such products Ig : @j4i_._', ""T-shirt is good. The fabric is made up of cotton,so it's good for summers. I ordered it in S size and it fitted well."", 'Very good product so happy with myntra thank you so much and it has best quality and as expected and everything just so perfect just go for it ? ?']","['Jai Bisht', 'Raj Kataria', 'Feriha Khan']","['27 Aug 2021', '2 Mar 2023', '30 Apr 2021']"
50,Roadster,Men White Polo Collar T-shirt,₹404,₹899,(55% OFF),"[4, 5, 4]","['I\'ll advice to go for M size. Since it\'s a bit loose and even M size look like a L size but M will be preferable for average height 5""7 or around . It\'s quality is bit thin but not extremely. And it\'s cotton made T-shirt. All in all, product is woth buying if comes below ₹400 paying more than that would be stupidity.', 'Good quality best fitting', 'Roadster always gives good quality products. This one is amazing too. I just felt little but uncomfortable, like its itchy to the skin. Just giving it benefit of doubt due to humid weather. If you want a white polo, then its a must go. Also, it is little bit transparent as well.']","['Mitul', 'Pawan Pratap Singh', 'Shubham Rawat']","['22 Aug 2021', '4 Mar 2023', '23 July 2021']"
51,Roadster,Men Teal Blue Dyed Round Neck Pure Cotton T-shirt,₹323,₹899,(64% OFF),"[5, 3, 3]","['Good quality cloth awesome product. After first wash little bit colour loose but it still look like a new product. The gradient colour is still highlights. Light cloth comfortable to wear.', 'fitting is as expected..well fit..but the problem is color gets faded just after first wash.. Even it looses color while dipping in water..', 'Soft cotton comfort. Nice fit. Colour is dyed indigo blue, not the teal blue as described. Great outfit ?']","['Rishal', 'Srikanth Gouru', 'Prithwis Mukhopadhyay']","['23 Sept 2020', '6 Feb 2021', '22 Oct 2021']"
